alg	cnt	n	e	s	h:m:s	max_rss	max_vms	max_uss	max_pss	io_in	io_out	mean_load	cpu_time	exit_status
pa	10000	100	0.01	0.1234	0:00:00	47.00	128.57	34.69	35.66	0.00	0.00	0.00	0.55	ok
edlib	10000	100	0.01	0.2595	0:00:00	47.21	128.57	34.70	35.70	0.00	0.00	0.00	0.56	ok
biwfa	10000	100	0.01	0.0668	0:00:00	47.00	128.57	34.69	35.66	0.00	0.00	0.00	0.55	ok
pa	10000	100	0.05	0.2166	0:00:00	47.33	128.57	34.69	35.66	0.00	0.00	0.00	0.54	ok
edlib	10000	100	0.05	0.2745	0:00:00	47.27	128.57	34.70	35.66	0.00	0.00	0.00	0.55	ok
biwfa	10000	100	0.05	0.0993	0:00:00	47.31	128.58	34.74	35.78	0.00	0.00	0.00	0.55	ok
pa	10000	100	0.1	0.3133	0:00:00	47.25	128.57	34.69	35.71	0.00	0.00	0.00	0.55	ok
edlib	10000	100	0.1	0.2604	0:00:00	47.09	128.57	34.72	35.71	0.00	0.00	0.00	0.54	ok
biwfa	10000	100	0.1	0.1292	0:00:00	47.00	128.58	34.70	35.67	0.00	0.00	0.00	0.55	ok
pa	10000	100	0.2	0.8928	0:00:00	55.29	218.73	37.45	39.63	0.00	0.00	0.00	1.07	ok
edlib	10000	100	0.2	0.2583	0:00:00	47.35	128.58	34.70	35.80	0.00	0.00	0.00	0.56	ok
biwfa	10000	100	0.2	0.1850	0:00:00	47.25	128.57	34.70	35.76	0.00	0.00	0.00	0.58	ok
pa	3333	300	0.01	0.1120	0:00:00	47.40	128.57	34.69	35.90	0.00	0.00	0.00	0.57	ok
edlib	3333	300	0.01	0.2395	0:00:00	47.36	128.58	34.70	35.86	0.00	0.00	0.00	0.56	ok
biwfa	3333	300	0.01	0.0578	0:00:00	47.35	128.58	34.70	35.77	0.00	0.00	0.00	0.55	ok
pa	3333	300	0.05	0.2143	0:00:00	47.33	128.57	34.70	35.77	0.00	0.00	0.00	0.54	ok
edlib	3333	300	0.05	0.2424	0:00:00	47.33	128.57	34.70	35.74	0.00	0.00	0.00	0.55	ok
biwfa	3333	300	0.05	0.0874	0:00:00	47.24	128.58	34.72	36.20	0.00	0.00	0.00	0.57	ok
pa	3333	300	0.1	0.3282	0:00:00	47.48	128.57	34.73	35.91	0.00	0.00	0.00	0.55	ok
edlib	3333	300	0.1	0.2444	0:00:00	47.19	128.58	34.76	36.19	0.00	0.00	0.00	0.57	ok
biwfa	3333	300	0.1	0.1403	0:00:00	47.24	128.57	34.69	35.81	0.00	0.00	0.00	0.55	ok
pa	3333	300	0.2	1.0852	0:00:01	56.06	290.84	38.28	40.00	0.00	0.00	48.88	1.61	ok
edlib	3333	300	0.2	0.2432	0:00:00	47.38	128.57	34.70	35.78	0.00	0.00	0.00	0.56	ok
biwfa	3333	300	0.2	0.1971	0:00:00	47.14	128.57	34.71	35.78	0.00	0.00	0.00	0.55	ok
pa	1000	1000	0.01	0.1149	0:00:00	47.41	128.57	34.69	35.85	0.00	0.00	0.00	0.54	ok
edlib	1000	1000	0.01	0.2339	0:00:00	47.47	128.58	34.70	36.06	0.00	0.00	0.00	0.58	ok
biwfa	1000	1000	0.01	0.0523	0:00:00	47.21	128.57	34.70	35.96	0.00	0.00	0.00	0.55	ok
pa	1000	1000	0.05	0.2080	0:00:00	47.46	128.57	34.69	35.90	0.00	0.00	0.00	0.56	ok
edlib	1000	1000	0.05	0.2328	0:00:00	47.31	128.58	34.71	35.92	0.00	0.00	0.00	0.55	ok
biwfa	1000	1000	0.05	0.0907	0:00:00	47.39	128.57	34.70	35.84	0.00	0.00	0.00	0.55	ok
pa	1000	1000	0.1	0.3425	0:00:00	47.48	128.57	34.73	36.28	0.00	0.00	0.00	0.59	ok
edlib	1000	1000	0.1	0.2799	0:00:00	47.19	128.58	34.79	35.85	0.00	0.00	0.00	0.56	ok
biwfa	1000	1000	0.1	0.1423	0:00:00	47.12	128.58	34.81	36.39	0.00	0.00	0.00	0.57	ok
pa	1000	1000	0.2	1.1772	0:00:01	56.21	291.01	37.87	39.88	0.00	0.00	44.74	1.58	ok
edlib	1000	1000	0.2	0.3290	0:00:00	47.23	128.58	34.70	35.86	0.00	0.00	0.00	0.56	ok
biwfa	1000	1000	0.2	0.2786	0:00:00	47.38	128.58	34.71	35.89	0.00	0.00	0.00	0.55	ok
pa	333	3000	0.01	0.1153	0:00:00	47.47	128.58	34.70	35.79	0.00	0.00	0.00	0.55	ok
edlib	333	3000	0.01	0.4130	0:00:00	47.20	128.58	34.70	35.72	0.00	0.00	0.00	0.55	ok
biwfa	333	3000	0.01	0.0525	0:00:00	47.25	128.58	34.71	35.75	0.00	0.00	0.00	0.55	ok
pa	333	3000	0.05	0.2048	0:00:00	47.19	128.57	34.71	35.67	0.00	0.00	0.00	0.55	ok
edlib	333	3000	0.05	0.5065	0:00:00	47.16	128.58	34.70	35.73	0.00	0.00	0.00	0.56	ok
biwfa	333	3000	0.05	0.1058	0:00:00	47.30	128.58	34.70	35.69	0.00	0.00	0.00	0.56	ok
pa	333	3000	0.1	0.3714	0:00:00	47.28	128.58	34.70	35.68	0.00	0.00	0.00	0.55	ok
edlib	333	3000	0.1	0.5172	0:00:00	47.36	128.57	34.69	35.69	0.00	0.00	0.00	0.57	ok
biwfa	333	3000	0.1	0.2489	0:00:00	47.00	128.57	34.69	35.64	0.00	0.00	0.00	0.54	ok
pa	333	3000	0.2	1.3403	0:00:01	57.07	291.80	39.00	40.23	0.00	0.00	37.83	1.54	ok
edlib	333	3000	0.2	0.5477	0:00:00	55.24	220.06	36.86	38.17	0.00	0.00	0.00	1.05	ok
biwfa	333	3000	0.2	0.6878	0:00:00	57.29	234.74	39.60	40.96	0.00	0.00	0.00	1.06	ok
pa	100	10000	0.01	0.1174	0:00:00	47.34	128.57	34.72	35.84	0.00	0.00	0.00	0.56	ok
edlib	100	10000	0.01	0.6731	0:00:00	54.98	219.86	36.76	38.15	0.00	0.00	0.00	1.05	ok
biwfa	100	10000	0.01	0.0538	0:00:00	47.30	128.57	34.74	35.90	0.00	0.00	0.00	0.55	ok
pa	100	10000	0.05	0.2354	0:00:00	47.34	128.57	34.70	35.68	0.00	0.00	0.00	0.55	ok
