alg	model	cnt	n	e	s	h:m:s	max_rss	max_vms	max_uss	max_pss	io_in	io_out	mean_load	cpu_time	exit_status	nr	|a|	|b|	r	H	k	m	pr	bf	d-f	seeds	matches	f-match	expanded	explored	greedy	dbl	ret	prunes	shift	band	precom	align	prune	ed	h0
csh+gap	synthetic	1	10000	0.1	0.0355	0:00:00	-	-	-	-	-	-	0.00	0	ok	1	10000	9997	0.00	GapSeed	8	0	1	0	Gap	1250	684	681	17182	20987	12727	0	8327	625	154	2.10	0.75	3.73	0.24	839	645
csh	synthetic	1	10000	0.1	0.1349	0:00:00	-	-	-	-	-	-	0.00	0	ok	1	10000	9997	0.00	GapSeed	8	0	1	0	Gap	1250	684	684	18924	23538	13267	0	686	624	502	2.35	1.13	4.49	0.31	839	604
sh	synthetic	1	10000	0.1	0.1026	0:00:00	-	-	-	-	-	-	0.00	0	ok	1	10000	9997	0.00	Unordered	8	0	1	0	Zero	1143	639	639	30658	36713	19575	0	46745	536	0	3.67	0.55	10.28	0.00	839	504
edlib	synthetic	1	10000	0.1	0.1218	0:00:00	-	-	-	-	-	-	0.00	0	ok
biwfa	synthetic	1	10000	0.1	0.1380	0:00:00	-	-	-	-	-	-	0.00	0	ok
csh+gap	random	1	10000	0.1	0.1241	0:00:00	-	-	-	-	-	-	0.00	0	ok	1	11497	11173	0.00	GapSeed	8	0	1	0	Gap	1437	942	937	122789	134305	57984	0	38492	885	314	11.68	1.47	53.79	1.60	1109	668
csh	random	1	10000	0.1	0.1318	0:00:00	-	-	-	-	-	-	0.00	0	ok	1	11497	11173	0.00	GapSeed	8	0	1	0	Gap	1437	942	942	137205	148857	62761	0	16516	884	736	12.95	0.98	50.10	1.42	1109	539
sh	random	1	10000	0.1	0.1314	0:00:00	3.19	7.38	0.46	0.75	0.00	0.00	0.00	0.00	ok	1	11497	11173	0.00	Unordered	8	0	1	0	Zero	1297	842	842	323649	341227	133482	0	193452	757	0	29.68	0.91	121.65	0.00	1109	455
edlib	random	1	10000	0.1	0.1225	0:00:00	-	-	-	-	-	-	0.00	0	ok
biwfa	random	1	10000	0.1	0.1244	0:00:00	-	-	-	-	-	-	0.00	0	ok
csh+gap	human	1	10000	0.1	0.1315	0:00:00	-	-	-	-	-	-	0.00	0	ok	1	8227	8044	0.00	GapSeed	8	0	1	0	Gap	1028	832	814	51906	58658	28540	0	22274	617	136	7.13	0.77	18.16	1.00	792	510
csh	human	1	10000	0.1	0.1206	0:00:00	-	-	-	-	-	-	0.00	0	ok	1	8227	8044	0.00	GapSeed	8	0	1	0	Gap	1028	832	832	65083	72514	33837	0	8019	621	480	8.81	0.77	17.48	0.89	792	402
sh	human	1	10000	0.1	0.5604	0:00:00	2.98	7.38	0.47	0.84	0.00	0.00	0.00	0.00	ok	1	8227	8044	0.00	Unordered	8	0	1	0	Zero	760	497	497	1393939	1425558	431524	0	594171	428	0	173.28	0.61	541.42	0.00	792	263
edlib	human	1	10000	0.1	0.1203	0:00:00	-	-	-	-	-	-	0.00	0	ok
biwfa	human	1	10000	0.1	0.1165	0:00:00	-	-	-	-	-	-	0.00	0	ok
