alg	cnt	n	e	m	k	s	h:m:s	max_rss	max_vms	max_uss	max_pss	io_in	io_out	mean_load	cpu_time	exit_status	nr	|a|	|b|	r	H	k	md	pr	bf	d-f	seeds	matches	f-match	expanded	explored	greedy	dbl	ret	prunes	shift	band	precom	align	prune	ed	h0	h_ops
pa	100000	100	0.01			0.8869	0:00:00	5.32	18.05	0.78	1.70	0.00	0.00	0.00	0.49	ok	100000	100	99	0.00	GapSeed	31	0	1	0	Gap	3	2	2	101	102	99	0	0	2	1	1.02	0.00	0.00	0.00	1	1	61
edlib	100000	100	0.01			2.2274	0:00:02	6.24	18.70	0.81	1.18	0.00	0.00	69.61	2.04	ok
biwfa	100000	100	0.01			0.2828	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok
pa	100000	100	0.05			1.8357	0:00:01	7.25	18.05	0.86	1.76	0.00	0.00	55.52	1.50	ok	100000	100	99	0.00	GapSeed	9	0	1	0	Gap	11	7	7	105	115	98	0	0	7	3	1.16	0.01	0.01	0.00	4	4	276
edlib	100000	100	0.05			2.2509	0:00:02	5.91	18.70	0.84	1.21	0.00	0.00	68.43	2.02	ok
biwfa	100000	100	0.05			0.6394	0:00:00	19.01	38.69	13.64	14.11	15.73	0.00	0.00	0.47	ok
pa	100000	100	0.1			2.8182	0:00:02	7.38	18.05	1.91	2.25	0.36	0.00	72.38	2.55	ok	100000	100	100	0.00	GapSeed	6	0	1	0	Gap	16	9	9	116	140	99	0	1	9	3	1.41	0.01	0.02	0.00	9	7	524
edlib	100000	100	0.1			2.2457	0:00:02	5.83	18.70	0.82	1.19	0.42	0.00	70.75	2.12	ok
biwfa	100000	100	0.1			0.9482	0:00:00	18.81	38.69	13.61	14.09	11.02	0.00	0.00	0.51	ok
pa	100000	100	0.2			8.3123	0:00:08	7.38	18.16	2.05	2.49	4.36	0.00	87.83	7.79	ok	100000	100	100	0.00	GapSeed	7	1	1	0	Gap	14	32	32	144	194	101	0	7	9	0	1.95	0.04	0.04	0.01	16	14	988
edlib	100000	100	0.2			2.2550	0:00:02	5.76	18.70	0.84	1.20	10.12	0.00	68.73	2.06	ok
biwfa	100000	100	0.2			1.4668	0:00:01	18.77	38.69	13.60	14.07	0.00	0.00	35.46	0.99	ok
pa	33333	300	0.01			0.7995	0:00:00	7.34	18.05	0.86	1.76	12.48	0.00	0.00	0.48	ok	33333	300	300	0.00	GapSeed	31	0	1	0	Gap	9	6	6	302	308	298	0	0	6	3	1.03	0.01	0.01	0.00	3	2	199
edlib	33333	300	0.01			2.0136	0:00:02	6.77	18.82	0.88	1.25	0.00	0.00	51.64	1.53	ok
biwfa	33333	300	0.01			0.2011	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok
pa	33333	300	0.05			1.8154	0:00:01	7.43	18.17	1.03	1.88	16.61	0.00	56.20	1.51	ok	33333	300	299	0.00	GapSeed	9	0	1	0	Gap	33	22	22	321	356	297	0	1	22	10	1.19	0.02	0.03	0.01	13	11	1028
edlib	33333	300	0.05			2.0481	0:00:02	6.95	18.82	0.88	1.26	0.00	0.00	51.24	1.54	ok
biwfa	33333	300	0.05			0.4893	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok
pa	33333	300	0.1			2.8996	0:00:02	7.27	18.26	1.05	1.93	17.48	0.00	71.05	2.55	ok	33333	300	299	0.00	GapSeed	6	0	1	0	Gap	50	31	31	364	443	304	0	11	30	10	1.48	0.03	0.06	0.01	26	21	1994
edlib	33333	300	0.1			2.0769	0:00:02	7.04	18.81	0.88	1.26	0.00	0.00	73.20	2.01	ok
biwfa	33333	300	0.1			0.8543	0:00:00	18.39	38.33	13.14	13.61	0.00	0.00	0.00	0.48	ok
pa	33333	300	0.2			10.3387	0:00:10	7.50	18.31	2.16	2.60	0.73	0.00	89.28	9.72	ok	33333	300	300	0.00	GapSeed	7	1	1	0	Gap	42	106	106	470	634	319	1	103	30	0	2.12	0.15	0.15	0.04	47	42	4172
edlib	33333	300	0.2			2.0905	0:00:02	6.84	18.81	0.90	1.27	18.47	0.00	74.67	2.04	ok
biwfa	33333	300	0.2			1.6026	0:00:01	22.21	42.34	17.20	17.66	0.00	0.00	63.66	1.51	ok
pa	10000	1000	0.01			0.8147	0:00:00	7.63	18.16	2.06	2.42	12.23	0.00	0.00	0.49	ok	10000	1000	1000	0.00	GapSeed	31	0	1	0	Gap	32	24	24	1011	1033	998	0	0	24	14	1.03	0.03	0.04	0.01	9	8	865
edlib	10000	1000	0.01			1.9633	0:00:01	6.83	19.09	1.18	1.55	0.00	0.00	52.44	1.52	ok
biwfa	10000	1000	0.01			0.1657	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok
pa	10000	1000	0.05			1.7400	0:00:01	7.50	18.22	1.04	1.93	17.36	0.00	59.83	1.53	ok	10000	1000	1000	0.00	GapSeed	10	0	1	0	Gap	100	65	65	1107	1241	1013	0	14	64	27	1.24	0.06	0.11	0.02	44	37	3936
edlib	10000	1000	0.05			2.0217	0:00:02	7.39	19.09	1.28	1.65	0.00	0.00	51.45	1.53	ok
biwfa	10000	1000	0.05			0.5205	0:00:00	17.96	38.34	13.03	13.49	0.00	0.00	0.00	0.49	ok
pa	10000	1000	0.1			3.0720	0:00:03	7.89	18.32	1.23	2.12	0.00	0.00	67.38	2.56	ok	10000	1000	1000	0.00	GapSeed	7	0	1	0	Gap	142	82	82	1422	1743	1115	0	184	78	23	1.74	0.07	0.23	0.02	85	67	8648
edlib	10000	1000	0.1			2.4322	0:00:02	7.06	19.11	1.26	1.64	0.00	0.00	61.68	1.98	ok
biwfa	10000	1000	0.1			1.0981	0:00:01	22.38	42.34	17.06	17.53	18.61	0.00	45.54	0.99	ok
